Drug,p_value,Is_Significant
Alcohol,0.03704973671387613,True
Amphet,5.643175531834979e-45,True
Amyl,6.302204988913478e-11,True
Benzos,8.880579162018434e-46,True
Caff,0.27866371716043875,False
Cannabis,1.1991532213178884e-90,True
Choc,0.041856030400981466,True
Coke,5.331453550225206e-41,True
Crack,2.6362764467125722e-17,True
Ecstasy,4.2725438529417345e-54,True
Heroin,4.04380705647691e-24,True
Ketamine,1.1301816150625826e-20,True
Legalh,2.519816601004958e-59,True
LSD,2.684374764830538e-51,True
Meth,4.791705528219552e-27,True
Mushrooms,2.3398601953000566e-60,True
Nicotine,4.816181113165344e-38,True
Semer,0.5718273432201424,False
VSA,3.687628883833217e-27,True
