Drug,p_value,Is_Significant
Alcohol,0.04788830435777602,True
Amphet,7.729968054158061e-46,True
Amyl,3.590016784753074e-11,True
Benzos,8.095916084969986e-47,True
Caff,0.30372362219624516,False
Cannabis,6.473040988012695e-93,True
Choc,0.03424655130490752,True
Coke,9.649105206418374e-42,True
Crack,9.423797377401948e-18,True
Ecstasy,4.4414150675635556e-55,True
Heroin,1.9172176448489444e-24,True
Ketamine,4.388638467484997e-21,True
Legalh,9.840036621907833e-61,True
LSD,4.52318163920222e-52,True
Meth,9.0394268666651e-28,True
Mushrooms,2.044723437435972e-61,True
Nicotine,4.97235475523478e-39,True
Semer,0.5679225766226166,False
VSA,1.0356075719398965e-27,True
