Drug,Max_Cluster,Max_Mean,Min_Cluster,Min_Mean
Alcohol,2,4.739565943238731,1,4.558739255014327
Amphet,0,1.9676320272572403,1,0.6174785100286533
Amyl,2,0.7378964941569283,1,0.3868194842406877
Benzos,0,2.245315161839864,1,0.7650429799426934
Caff,2,5.534223706176961,1,5.43839541547278
Cannabis,0,3.8705281090289607,1,1.654727793696275
Choc,1,5.180515759312321,0,5.022146507666099
Coke,0,1.625212947189097,1,0.5630372492836676
Crack,0,0.5008517887563884,1,0.09455587392550144
Ecstasy,2,1.8113522537562605,1,0.5587392550143266
Heroin,0,0.7018739352640545,1,0.10458452722063037
Ketamine,2,0.7896494156928213,1,0.2191977077363897
Legalh,0,2.0425894378194207,1,0.5171919770773639
LSD,2,1.5108514190317195,1,0.3968481375358166
Meth,0,1.362862010221465,1,0.3510028653295129
Mushrooms,2,1.6360601001669448,1,0.4785100286532951
Nicotine,0,3.971039182282794,1,2.2908309455587395
Semer,2,0.015025041736227046,1,0.0057306590257879654
VSA,0,0.7189097103918228,1,0.13753581661891118
